Time resolution is 1 ps
simtime = 360, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 360, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 360, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 360, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 370, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 370, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 370, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 370, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 380, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 380, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 380, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 380, CLK = 0, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 390, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 390, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 390, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 390, CLK = 1, J = 1, K = 0, Q = 1, QBAR = 0
simtime = 400, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 400, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 400, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 400, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 400, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 410, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 410, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 410, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 410, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 410, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 420, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 420, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 420, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 420, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 420, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 430, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 430, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 430, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 430, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 430, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 440, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 440, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 440, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 440, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 440, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 450, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 450, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 450, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 450, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 450, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 460, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 460, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 460, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 460, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 460, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 470, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 470, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 470, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 470, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 470, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 480, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 480, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 480, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 480, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 480, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 490, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 490, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 490, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 490, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 490, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 500, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 500, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 500, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 500, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 500, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 510, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 510, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 510, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 510, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 510, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 520, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 520, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 520, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 520, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 520, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 530, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 530, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 530, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 530, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 530, CLK = 1, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 540, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 540, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 540, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
simtime = 540, CLK = 0, J = 0, K = 0, Q = 1, QBAR = 0
